Game,Date,Competition,Home team,Result,Away team,Lineup,Minutes,Goals,Assists,Cards,Jersey
868,08-08-2020,UEFA Champions League,FC Barcelona,3-1,Napoli,Starter,90,1,0,0,10
867,19-07-2020,La Liga,Alavés,0-5,FC Barcelona,Starter,90,2,1,0,10
866,16-07-2020,La Liga,FC Barcelona,1-2,Osasuna,Starter,90,1,0,0,10
865,11-07-2020,La Liga,Real Valladolid,0-1,FC Barcelona,Starter,90,0,1,0,10
864,08-07-2020,La Liga,FC Barcelona,1-0,Espanyol,Starter,90,0,0,0,10
863,05-07-2020,La Liga,Villarreal,1-4,FC Barcelona,Starter,90,0,2,0,10
862,30-06-2020,La Liga,FC Barcelona,2-2,Atlético Madrid,Starter,90,1,0,1,10
861,27-06-2020,La Liga,Celta de Vigo,2-2,FC Barcelona,Starter,90,0,2,0,10
860,23-06-2020,La Liga,FC Barcelona,1-0,Athletic de Bilbao,Starter,90,0,1,0,10
859,19-06-2020,La Liga,Sevilla,0-0,FC Barcelona,Starter,90,0,0,0,10
858,16-06-2020,La Liga,FC Barcelona,2-0,Leganés,Starter,90,1,0,0,10
857,13-06-2020,La Liga,Real Mallorca,0-4,FC Barcelona,Starter,90,1,2,0,10
856,07-03-2020,La Liga,FC Barcelona,1-0,Real Sociedad,Starter,90,1,0,1,10
855,01-03-2020,La Liga,Real Madrid,2-0,FC Barcelona,Starter,90,0,0,1,10
854,25-02-2020,UEFA Champions League,Napoli,1-1,FC Barcelona,Starter,90,0,0,1,10
853,22-02-2020,La Liga,FC Barcelona,5-0,Eibar,Starter,90,4,0,0,10
852,15-02-2020,La Liga,FC Barcelona,2-1,Getafe,Starter,90,0,1,0,10
851,09-02-2020,La Liga,Real Betis,2-3,FC Barcelona,Starter,90,0,3,0,10
850,06-02-2020,Copa del Rey,Athletic de Bilbao,1-0,FC Barcelona,Starter,90,0,0,1,10
849,02-02-2020,La Liga,FC Barcelona,2-1,Levante,Starter,90,0,2,0,10
848,30-01-2020,Copa del Rey,FC Barcelona,5-0,Leganés,Starter,90,2,1,0,10
847,25-01-2020,La Liga,Valencia,2-0,FC Barcelona,Starter,90,0,0,0,10
846,19-01-2020,La Liga,FC Barcelona,1-0,Granada,Starter,90,1,0,0,10
845,09-01-2020,Spanish Super Cup,FC Barcelona,2-3,Atlético Madrid,Starter,90,1,0,0,10
844,04-01-2020,La Liga,Espanyol,2-2,FC Barcelona,Starter,90,0,0,0,10
843,21-12-2019,La Liga,FC Barcelona,4-1,Alavés,Starter,90,1,0,0,10
842,18-12-2019,La Liga,FC Barcelona,0-0,Real Madrid,Starter,90,0,0,0,10
841,14-12-2019,La Liga,Real Sociedad,2-2,FC Barcelona,Starter,90,0,1,0,10
840,07-12-2019,La Liga,FC Barcelona,5-2,Real Mallorca,Starter,90,3,0,0,10
839,01-12-2019,La Liga,Atlético Madrid,0-1,FC Barcelona,Starter,90,1,0,0,10
838,27-11-2019,UEFA Champions League,FC Barcelona,3-1,Borussia Dortmund,Starter,90,1,2,1,10
837,23-11-2019,La Liga,Leganés,1-2,FC Barcelona,Starter,90,0,1,0,10
836,18-11-2019,International friendly,Argentina,2-2,Uruguay,Starter,90,1,1,0,10
835,15-11-2019,International friendly,Brazil,0-1,Argentina,Starter,90,1,0,0,10
834,09-11-2019,La Liga,FC Barcelona,4-1,Celta de Vigo,Starter,90,3,0,1,10
833,05-11-2019,UEFA Champions League,FC Barcelona,0-0,Slavia Prague,Starter,90,0,0,0,10
832,02-11-2019,La Liga,Levante,3-1,FC Barcelona,Starter,90,1,0,0,10
831,29-10-2019,La Liga,FC Barcelona,5-1,Real Valladolid,Starter,90,2,2,0,10
830,23-10-2019,UEFA Champions League,Slavia Prague,1-2,FC Barcelona,Starter,90,1,0,0,10
829,19-10-2019,La Liga,Eibar,0-3,FC Barcelona,Starter,90,1,1,0,10
828,06-10-2019,La Liga,FC Barcelona,4-0,Sevilla,Starter,90,1,0,0,10
827,02-10-2019,UEFA Champions League,FC Barcelona,2-1,Internazionale,Starter,90,0,1,0,10
826,24-09-2019,La Liga,FC Barcelona,2-1,Villarreal,Starter,45,0,1,0,10
825,21-09-2019,La Liga,Granada,2-0,FC Barcelona,Substitute,45,0,0,0,10
824,17-09-2019,UEFA Champions League,Borussia Dortmund,0-0,FC Barcelona,Substitute,32,0,0,0,10
823,06-07-2019,Copa América 2019,Argentina,2-1,Chile,Starter,36,0,1,1,10
822,02-07-2019,Copa América 2019,Brazil,2-0,Argentina,Starter,90,0,0,0,10
821,28-06-2019,Copa América 2019,Venezuela,0-2,Argentina,Starter,90,0,0,0,10
820,23-06-2019,Copa América 2019,Qatar,0-2,Argentina,Starter,90,0,0,0,10
819,19-06-2019,Copa América 2019,Argentina,1-1,Paraguay,Starter,90,1,0,0,10
818,15-06-2019,Copa América 2019,Argentina,0-2,Colombia,Starter,90,0,0,0,10
817,08-06-2019,International friendly,Argentina,5-1,Nicaragua,Starter,45,2,0,0,10
816,25-05-2019,Copa del Rey,FC Barcelona,1-2,Valencia,Starter,90,1,0,0,10
815,19-05-2019,La Liga,Eibar,2-2,FC Barcelona,Starter,90,2,0,0,10
814,12-05-2019,La Liga,FC Barcelona,2-0,Getafe,Starter,90,0,0,0,10
813,07-05-2019,UEFA Champions League,Liverpool,4-0,FC Barcelona,Starter,90,0,0,0,10
812,01-05-2019,UEFA Champions League,FC Barcelona,3-0,Liverpool,Starter,90,2,0,0,10
811,27-04-2019,La Liga,FC Barcelona,1-0,Levante,Substitute,45,1,0,0,10
810,23-04-2019,La Liga,Alavés,0-2,FC Barcelona,Substitute,30,0,0,0,10
809,20-04-2019,La Liga,FC Barcelona,2-1,Real Sociedad,Starter,90,0,1,0,10
808,16-04-2019,UEFA Champions League,FC Barcelona,3-0,Manchester United,Starter,90,2,0,0,10
807,10-04-2019,UEFA Champions League,Manchester United,0-1,FC Barcelona,Starter,90,0,0,0,10
806,06-04-2019,La Liga,FC Barcelona,2-0,Atlético Madrid,Starter,90,1,0,0,10
805,02-04-2019,La Liga,Villarreal,4-4,FC Barcelona,Substitute,30,1,0,1,10
804,30-03-2019,La Liga,FC Barcelona,2-0,Espanyol,Starter,90,2,0,0,10
803,22-03-2019,International friendly,Argentina,1-3,Venezuela,Starter,90,0,0,0,10
802,17-03-2019,La Liga,Real Betis,1-4,FC Barcelona,Starter,90,3,0,0,10
